"filename", "language", "YAML", "Properties", "Dart", "Markdown", "Swift", "C++", "CMake", "XML", "JavaScript", "JSON", "HTML", "Shell Script", "PowerShell", "WebAssembly Text Format", "comment", "blank", "total"
"e:\code\r6box\r6box\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\code\r6box\r6box\README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"e:\code\r6box\r6box\analysis_options.yaml", "YAML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 4, 29
"e:\code\r6box\r6box\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"e:\code\r6box\r6box\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 11, 1, 46
"e:\code\r6box\r6box\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"e:\code\r6box\r6box\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"e:\code\r6box\r6box\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"e:\code\r6box\r6box\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"e:\code\r6box\r6box\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"e:\code\r6box\r6box\android\gradle.properties", "Properties", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\code\r6box\r6box\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\code\r6box\r6box\assets\config\1.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"e:\code\r6box\r6box\assets\config\app_config.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
"e:\code\r6box\r6box\assets\data\exported_database.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5389, 0, 0, 0, 0, 0, 0, 5389
"e:\code\r6box\r6box\devtools_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\code\r6box\r6box\docs\AUTO_CLOSE_FEATURE.md", "Markdown", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 93
"e:\code\r6box\r6box\docs\DRAWING_TOOLS_OPTIMIZATION.md", "Markdown", 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 146
"e:\code\r6box\r6box\docs\FRAMEWORK_README.md", "Markdown", 0, 0, 0, 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 265
"e:\code\r6box\r6box\docs\LAYER_SYSTEM_FINAL.md", "Markdown", 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 128
"e:\code\r6box\r6box\docs\LAYER_SYSTEM_IMPROVEMENTS.md", "Markdown", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 68
"e:\code\r6box\r6box\docs\OPACITY_OPTIMIZATION.md", "Markdown", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 101
"e:\code\r6box\r6box\docs\WEB_PLATFORM_GUIDE.md", "Markdown", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 108
"e:\code\r6box\r6box\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"e:\code\r6box\r6box\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"e:\code\r6box\r6box\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 123
"e:\code\r6box\r6box\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"e:\code\r6box\r6box\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"e:\code\r6box\r6box\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 1, 38
"e:\code\r6box\r6box\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 1, 27
"e:\code\r6box\r6box\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\code\r6box\r6box\l10n.yaml", "YAML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\code\r6box\r6box\lib\components\common\center_point_selector.dart", "Dart", 0, 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15, 169
"e:\code\r6box\r6box\lib\components\common\config_aware_widgets.dart", "Dart", 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 21, 190
"e:\code\r6box\r6box\lib\components\common\platform_aware_component.dart", "Dart", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 68
"e:\code\r6box\r6box\lib\components\layout\app_shell.dart", "Dart", 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 20, 162
"e:\code\r6box\r6box\lib\components\layout\main_layout.dart", "Dart", 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 18, 135
"e:\code\r6box\r6box\lib\components\layout\page_configuration.dart", "Dart", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 38
"e:\code\r6box\r6box\lib\components\navigation\tray_navigation.dart", "Dart", 0, 0, 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16, 208
"e:\code\r6box\r6box\lib\components\platform\android\android_component.dart", "Dart", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 66
"e:\code\r6box\r6box\lib\components\platform\ios\ios_component.dart", "Dart", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 63
"e:\code\r6box\r6box\lib\components\platform\linux\linux_component.dart", "Dart", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 66
"e:\code\r6box\r6box\lib\components\platform\macos\macos_component.dart", "Dart", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 65
"e:\code\r6box\r6box\lib\components\platform\web\web_component.dart", "Dart", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 63
"e:\code\r6box\r6box\lib\components\platform\windows\windows_component.dart", "Dart", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 65
"e:\code\r6box\r6box\lib\components\web\web_readonly_components.dart", "Dart", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 88
"e:\code\r6box\r6box\lib\config\app_config.dart", "Dart", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20, 79
"e:\code\r6box\r6box\lib\config\app_config.g.dart", "Dart", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 46
"e:\code\r6box\r6box\lib\config\build_config.dart", "Dart", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 76
"e:\code\r6box\r6box\lib\config\config_manager.dart", "Dart", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 17, 118
"e:\code\r6box\r6box\lib\features\component-modules\system_info_feature.dart", "Dart", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 106
"e:\code\r6box\r6box\lib\features\feature_registry.dart", "Dart", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 45
"e:\code\r6box\r6box\lib\features\page-modules\config_editor_module.dart", "Dart", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"e:\code\r6box\r6box\lib\features\page-modules\fullscreen_test_page_module.dart", "Dart", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 48
"e:\code\r6box\r6box\lib\features\page-modules\home_page_module.dart", "Dart", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 43
"e:\code\r6box\r6box\lib\features\page-modules\legend_manager_page_module.dart", "Dart", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 48
"e:\code\r6box\r6box\lib\features\page-modules\map_atlas_page_module.dart", "Dart", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 43
"e:\code\r6box\r6box\lib\features\page-modules\settings_page_module.dart", "Dart", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 43
"e:\code\r6box\r6box\lib\features\page-modules\user_preferences_page_module.dart", "Dart", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 43
"e:\code\r6box\r6box\lib\features\page_registry.dart", "Dart", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 15, 96
"e:\code\r6box\r6box\lib\l10n\app_localizations.dart", "Dart", 0, 0, 259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 880, 220, 1359
"e:\code\r6box\r6box\lib\l10n\app_localizations_en.dart", "Dart", 0, 0, 481, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 207, 691
"e:\code\r6box\r6box\lib\l10n\app_localizations_zh.dart", "Dart", 0, 0, 463, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 207, 673
"e:\code\r6box\r6box\lib\main.dart", "Dart", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 92
"e:\code\r6box\r6box\lib\mixins\map_localization_mixin.dart", "Dart", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 57
"e:\code\r6box\r6box\lib\models\legend_item.dart", "Dart", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 124
"e:\code\r6box\r6box\lib\models\legend_item.g.dart", "Dart", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 47
"e:\code\r6box\r6box\lib\models\map_item.dart", "Dart", 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 18, 159
"e:\code\r6box\r6box\lib\models\map_item.g.dart", "Dart", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 53
"e:\code\r6box\r6box\lib\models\map_item_summary.dart", "Dart", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 86
"e:\code\r6box\r6box\lib\models\map_item_summary.g.dart", "Dart", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 30
"e:\code\r6box\r6box\lib\models\map_layer.dart", "Dart", 0, 0, 282, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 23, 315
"e:\code\r6box\r6box\lib\models\map_layer.g.dart", "Dart", 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 152
"e:\code\r6box\r6box\lib\models\map_localization.dart", "Dart", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 18, 114
"e:\code\r6box\r6box\lib\models\map_localization.g.dart", "Dart", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 38
"e:\code\r6box\r6box\lib\models\user_preferences.dart", "Dart", 0, 0, 316, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 67, 432
"e:\code\r6box\r6box\lib\models\user_preferences.g.dart", "Dart", 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 146
"e:\code\r6box\r6box\lib\pages\config\config_editor_page.dart", "Dart", 0, 0, 209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20, 232
"e:\code\r6box\r6box\lib\pages\home\home_page.dart", "Dart", 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 196
"e:\code\r6box\r6box\lib\pages\legend_manager\legend_manager_page.dart", "Dart", 0, 0, 543, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 36, 592
"e:\code\r6box\r6box\lib\pages\map_atlas\map_atlas_page.dart", "Dart", 0, 0, 655, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 38, 712
"e:\code\r6box\r6box\lib\pages\map_editor\map_editor_page.dart", "Dart", 0, 0, 1222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 123, 1434
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\drawing_toolbar.dart", "Dart", 0, 0, 565, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 54, 658
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\layer_legend_binding_drawer.dart", "Dart", 0, 0, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 275
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\layer_panel.dart", "Dart", 0, 0, 505, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 36, 585
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\legend_group_management_drawer.dart", "Dart", 0, 0, 842, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 54, 946
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\legend_panel.dart", "Dart", 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 204
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\map_canvas.dart", "Dart", 0, 0, 1764, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 298, 282, 2344
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\z_index_inspector.dart", "Dart", 0, 0, 235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 254
"e:\code\r6box\r6box\lib\pages\settings\settings_page.dart", "Dart", 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 166
"e:\code\r6box\r6box\lib\pages\settings\user_preferences_page.dart", "Dart", 0, 0, 256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 23, 288
"e:\code\r6box\r6box\lib\pages\settings\widgets\layout_settings_section.dart", "Dart", 0, 0, 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22, 223
"e:\code\r6box\r6box\lib\pages\settings\widgets\map_editor_settings_section.dart", "Dart", 0, 0, 230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22, 259
"e:\code\r6box\r6box\lib\pages\settings\widgets\theme_settings_section.dart", "Dart", 0, 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19, 202
"e:\code\r6box\r6box\lib\pages\settings\widgets\tool_settings_section.dart", "Dart", 0, 0, 375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 29, 413
"e:\code\r6box\r6box\lib\pages\settings\widgets\user_management_section.dart", "Dart", 0, 0, 394, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 40, 454
"e:\code\r6box\r6box\lib\pages\test\fullscreen_test_page.dart", "Dart", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 49
"e:\code\r6box\r6box\lib\providers\locale_provider.dart", "Dart", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 56
"e:\code\r6box\r6box\lib\providers\theme_provider.dart", "Dart", 0, 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 23, 216
"e:\code\r6box\r6box\lib\providers\user_preferences_provider.dart", "Dart", 0, 0, 333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 53, 426
"e:\code\r6box\r6box\lib\router\app_router.dart", "Dart", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 67
"e:\code\r6box\r6box\lib\services\combined_database_exporter.dart", "Dart", 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 21, 179
"e:\code\r6box\r6box\lib\services\legend_database_service.dart", "Dart", 0, 0, 252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 47, 332
"e:\code\r6box\r6box\lib\services\map_database_service.dart", "Dart", 0, 0, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 50, 391
"e:\code\r6box\r6box\lib\services\map_localization_service.dart", "Dart", 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 47, 334
"e:\code\r6box\r6box\lib\services\user_preferences_service.dart", "Dart", 0, 0, 272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 59, 371
"e:\code\r6box\r6box\lib\services\web_database_importer.dart", "Dart", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 13, 111
"e:\code\r6box\r6box\lib\services\web_database_preloader.dart", "Dart", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 14, 105
"e:\code\r6box\r6box\lib\utils\image_utils.dart", "Dart", 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 18, 184
"e:\code\r6box\r6box\linux\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 25, 129
"e:\code\r6box\r6box\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"e:\code\r6box\r6box\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"e:\code\r6box\r6box\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"e:\code\r6box\r6box\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"e:\code\r6box\r6box\linux\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"e:\code\r6box\r6box\linux\runner\main.cc", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\code\r6box\r6box\linux\runner\my_application.cc", "C++", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"e:\code\r6box\r6box\linux\runner\my_application.h", "C++", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"e:\code\r6box\r6box\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 17
"e:\code\r6box\r6box\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"e:\code\r6box\r6box\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"e:\code\r6box\r6box\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 1, 69
"e:\code\r6box\r6box\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 1, 344
"e:\code\r6box\r6box\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"e:\code\r6box\r6box\pubspec.yaml", "YAML", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 22, 130
"e:\code\r6box\r6box\scripts\build.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 10, 19, 89
"e:\code\r6box\r6box\scripts\build.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 10, 12, 68
"e:\code\r6box\r6box\scripts\build_config_generator.dart", "Dart", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 14, 107
"e:\code\r6box\r6box\scripts\config_validator.dart", "Dart", 0, 0, 233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 47, 300
"e:\code\r6box\r6box\scripts\config_validator_tool.dart", "Dart", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 36
"e:\code\r6box\r6box\scripts\database_exporter.dart", "Dart", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 16, 99
"e:\code\r6box\r6box\scripts\find_database.dart", "Dart", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 31
"e:\code\r6box\r6box\test\config_system_test.dart", "Dart", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 70
"e:\code\r6box\r6box\test\framework_test.dart", "Dart", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 91
"e:\code\r6box\r6box\test\widget_test.dart", "Dart", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 11
"e:\code\r6box\r6box\test\widget_test_new.dart", "Dart", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 18
"e:\code\r6box\r6box\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 16, 5, 44
"e:\code\r6box\r6box\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 36
"e:\code\r6box\r6box\web\sqflite_sw.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 9504, 0, 0, 0, 0, 0, 1, 2, 9507
"e:\code\r6box\r6box\web\sqlite3.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14659, 0, 242, 14901
"e:\code\r6box\r6box\windows\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"e:\code\r6box\r6box\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"e:\code\r6box\r6box\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"e:\code\r6box\r6box\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"e:\code\r6box\r6box\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"e:\code\r6box\r6box\windows\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"e:\code\r6box\r6box\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"e:\code\r6box\r6box\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"e:\code\r6box\r6box\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"e:\code\r6box\r6box\windows\runner\resource.h", "C++", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"e:\code\r6box\r6box\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"e:\code\r6box\r6box\windows\runner\utils.h", "C++", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"e:\code\r6box\r6box\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"e:\code\r6box\r6box\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 47, 8, 16283, 707, 59, 540, 461, 470, 9504, 5670, 23, 46, 60, 14659, 2450, 3355, 54342